,관리번호,자치구_x,와이파이명,도로명주소,상세주소,설치위치(층),설치유형,설치기관,서비스구분,망종류,설치년도,실내외구분,wifi접속환경,X좌표,Y좌표,작업일자,자치구_y,AP별 이용량(GB),이용량
8428,WF131593,노원구,수락산만남의광장,노원구 동일로242길 123,상계동 산 62-7 CCTV 광장향,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.061615,37.67454,2021-12-14 10:57,노원구,111.87 GB,111.87 
8429,WF131595,노원구,원터근린공원,노원구 동일로216길 66,상계동 753-2 놀이터 향,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.06462,37.650875,2021-12-14 10:57,노원구,132.19 GB,132.19 
8430,WF131596,노원구,원터근린공원,노원구 동일로216길 42,상계동 753-2 운동장향,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.06381,37.650707,2021-12-14 10:57,노원구,208.29 GB,208.29 
8431,WF131598,노원구,한글비근린공원,노원구 노원로18길 41,하계동 288-2 CCTV 우측,,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.07418,37.645027,2021-12-14 10:57,노원구,72.67 GB,72.67 
8432,WF131599,노원구,한내공원,노원구 마들로 86,월계동 1-4(자전거대여소옥상),,3. 공원(하천),서울시(AP),공공WiFi,자가망U무선망,2019,실외,,127.06842,37.62395,2021-12-14 10:57,노원구,221.65 GB,221.65 
8433,WF131641,도봉구,학마을다사랑센터,방학동 446-5(시루봉로 128),,,4. 문화관광체육시설,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.02785,37.662193,2021-12-14 10:57,도봉구,120.83 GB,120.83 
8434,WF131642,도봉구,학마을다사랑센터,방학동 446-5(시루봉로 128),1층,,4. 문화관광체육시설,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.02785,37.662193,2021-12-14 10:57,도봉구,58.59 GB,58.59 
8435,WF131643,도봉구,학마을다사랑센터,방학동 446-5(시루봉로 128),4층,,4. 문화관광체육시설,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.02785,37.662193,2021-12-14 10:57,도봉구,62.84 GB,62.84 
8436,WF131644,도봉구,학마을다사랑센터,방학동 446-5(시루봉로 128),2층,,4. 문화관광체육시설,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.02785,37.662193,2021-12-14 10:57,도봉구,268.06 GB,268.06 
8437,WF131645,도봉구,학마을다사랑센터,방학동 446-5(시루봉로 128),,,4. 문화관광체육시설,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.02785,37.662193,2021-12-14 10:57,도봉구,"1,511.94 GB","1,511.94 "
8438,WF131646,도봉구,학마을다사랑센터,방학동 446-5(시루봉로 128),,,4. 문화관광체육시설,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.02785,37.662193,2021-12-14 10:57,도봉구,326.91 GB,326.91 
8439,WF131670,동대문구,이문체육센터,동대문구 한천로58길 81-49,이문2동 189 1층로비,,4. 문화관광체육시설,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.06871,37.60226,2021-12-14 10:57,동대문구,496.22 GB,496.22 
8440,WF131671,동대문구,이문체육센터,동대문구 한천로58길 81-49,이문2동 189 2층로비,,4. 문화관광체육시설,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.06871,37.60226,2021-12-14 10:57,동대문구,220.24 GB,220.24 
8441,WF131672,동대문구,이문체육센터,동대문구 한천로58길 81-49,이문2동 189 3층로비,,4. 문화관광체육시설,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.06871,37.60226,2021-12-14 10:57,동대문구,200.19 GB,200.19 
8442,WF131681,동대문구,휘경1정보교육장,동대문구 외대역동로6길 3,휘경1동 135-9 3층 로비,,7-3. 커뮤니티 - 지역,서울시(AP),공공WiFi,자가망U무선망,2021,실내,,127.06575,37.592888,2021-12-14 10:57,동대문구,104.17 GB,104.17 
8443,WF131726,마포구,마포농수산물시장,마포구월드컵로235,도화동 540 (도화소어린이공원내 함체),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.89871,37.565853,2021-12-14 10:57,마포구,722.80 GB,722.80 
8444,WF131727,마포구,마포농수산물시장,마포구월드컵로235,성산2동 533-1(중앙수산위),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.89871,37.565853,2021-12-14 10:57,마포구,283.33 GB,283.33 
8445,WF131728,마포구,마포농수산물시장,마포구월드컵로235,성산2동 533-1(마포회관간판위),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.89871,37.565853,2021-12-14 10:57,마포구,675.82 GB,675.82 
8446,WF131729,마포구,마포농수산물시장,마포구월드컵로235,성산2동 533-1(남도식품간판위),,2. 전통시장,서울시(AP),공공WiFi,자가망U무선망,2019,실외,,126.89871,37.565853,2021-12-14 10:57,마포구,753.53 GB,753.53 
